"","year","pnum","box_attempt","nestbox","species","clutch_size","April_lay","April_hatch","num_chicks","num_eggs_manipulated","number_fledged","adult_male","adult_female","incubation_period","test"
"669",1959,"19591EX75",1,"EX75","BLUTI",8,26,45,8,NA,8,NA,NA,12,0
"670",1959,"19591EX77",1,"EX77","BLUTI",10,22,42,10,NA,10,NA,NA,11,0
"674",1959,"19591O10",1,"O10","BLUTI",11,17,39,11,NA,11,NA,NA,12,0
"675",1959,"19591O11",1,"O11","BLUTI",11,15,37,11,NA,11,NA,NA,12,0
"676",1959,"19591O15",1,"O15","BLUTI",9,26,46,9,NA,9,NA,NA,12,0
"677",1959,"19591O17",1,"O17","BLUTI",11,19,41,10,NA,10,NA,NA,12,1
"678",1959,"19591O2",1,"O2","BLUTI",10,16,38,10,NA,9,NA,NA,13,0
"680",1959,"19591O23",1,"O23","BLUTI",14,18,44,14,NA,14,NA,NA,13,0
"682",1959,"19591O26",1,"O26","BLUTI",6,45,62,6,NA,5,NA,NA,12,0
"683",1959,"19591O27",1,"O27","BLUTI",11,22,NA,NA,NA,0,NA,NA,NA,NA
"684",1959,"19591O37",1,"O37","BLUTI",13,16,40,11,NA,10,NA,NA,12,2
"688",1959,"19591O46",1,"O46","BLUTI",11,19,41,11,NA,11,NA,NA,12,0
"690",1959,"19591O48",1,"O48","BLUTI",9,22,44,9,NA,9,NA,NA,14,0
"691",1959,"19591O50",1,"O50","BLUTI",11,24,48,5,NA,4,NA,NA,14,6
"695",1959,"19591O54",1,"O54","BLUTI",10,23,43,10,NA,9,NA,NA,11,0
"699",1959,"19591O6",1,"O6","BLUTI",9,20,40,9,NA,9,NA,NA,12,0
"703",1959,"19591O65",1,"O65","BLUTI",10,17,38,10,NA,10,NA,NA,12,0
"705",1959,"19591O69",1,"O69","BLUTI",11,24,47,10,NA,10,NA,NA,13,1
"706",1959,"19591O70",1,"O70","BLUTI",11,20,42,4,NA,2,NA,"36791",12,7
"708",1959,"19591O72",1,"O72","BLUTI",11,19,41,11,NA,11,NA,NA,12,0
"709",1959,"19591O73",1,"O73","BLUTI",10,20,41,9,NA,9,NA,NA,12,1
"713",1959,"19591O77",1,"O77","BLUTI",10,22,43,10,NA,10,NA,NA,12,0
"715",1959,"19591O79",1,"O79","BLUTI",1,24,NA,NA,NA,0,NA,NA,NA,NA
"718",1959,"19591O81",1,"O81","BLUTI",10,24,46,9,NA,9,NA,NA,13,1
"721",1959,"19591O86",1,"O86","BLUTI",9,22,44,7,NA,7,NA,NA,14,2
"725",1959,"19591W1",1,"W1","BLUTI",10,14,35,9,NA,9,NA,NA,12,1
"726",1959,"19591W101",1,"W101","BLUTI",11,24,48,11,NA,11,NA,NA,14,0
"727",1959,"19591W104",1,"W104","BLUTI",12,18,41,12,NA,12,NA,NA,12,0
"728",1959,"19591W11",1,"W11","BLUTI",12,12,35,12,NA,8,NA,NA,12,0
"730",1959,"19591W13",1,"W13","BLUTI",11,22,45,11,NA,9,NA,NA,13,0
"732",1959,"19591W15",1,"W15","BLUTI",NA,27,NA,NA,NA,0,NA,NA,NA,NA
"733",1959,"19591W16",1,"W16","BLUTI",12,19,NA,NA,NA,0,NA,NA,NA,NA
"734",1959,"19591W17",1,"W17","BLUTI",11,18,41,10,NA,10,NA,NA,13,1
"736",1959,"19591W19",1,"W19","BLUTI",NA,15,NA,NA,NA,0,NA,NA,NA,NA
"738",1959,"19591W21",1,"W21","BLUTI",NA,36,NA,NA,NA,0,NA,NA,NA,NA
"740",1959,"19591W23",1,"W23","BLUTI",9,28,48,9,NA,9,NA,NA,12,0
"741",1959,"19591W24",1,"W24","BLUTI",10,16,37,9,NA,9,NA,NA,12,1
"742",1959,"19591W25",1,"W25","BLUTI",10,16,37,8,NA,7,NA,NA,12,2
"743",1959,"19591W29",1,"W29","BLUTI",13,17,42,11,NA,10,NA,NA,13,2
"744",1959,"19591W30",1,"W30","BLUTI",11,18,NA,NA,NA,0,NA,"37273",NA,NA
"746",1959,"19591W32",1,"W32","BLUTI",NA,20,NA,NA,NA,0,NA,NA,NA,NA
"750",1959,"19591W38",1,"W38","BLUTI",8,28,47,8,NA,8,NA,NA,12,0
"751",1959,"19591W39",1,"W39","BLUTI",10,23,44,10,NA,10,NA,NA,12,0
"752",1959,"19591W4",1,"W4","BLUTI",12,17,NA,NA,NA,0,NA,"30024",NA,NA
"753",1959,"19591W40",1,"W40","BLUTI",13,15,42,13,NA,13,NA,NA,15,0
"755",1959,"19591W43",1,"W43","BLUTI",7,36,54,7,NA,5,NA,NA,12,0
"756",1959,"19591W44",1,"W44","BLUTI",12,17,40,11,NA,11,NA,NA,12,1
"757",1959,"19591W45",1,"W45","BLUTI",11,18,40,10,NA,10,NA,NA,12,1
"758",1959,"19591W46",1,"W46","BLUTI",9,18,38,9,NA,9,NA,NA,12,0
"759",1959,"19591W5",1,"W5","BLUTI",9,44,62,8,NA,7,NA,NA,10,1
"760",1959,"19591W50",1,"W50","BLUTI",11,14,37,10,NA,10,NA,NA,13,1
"761",1959,"19591W51",1,"W51","BLUTI",12,20,41,11,NA,11,NA,NA,10,1
"762",1959,"19591W52",1,"W52","BLUTI",9,33,53,9,NA,9,NA,NA,12,0
"764",1959,"19591W54",1,"W54","BLUTI",9,32,52,9,NA,9,NA,NA,12,0
"765",1959,"19591W55",1,"W55","BLUTI",NA,15,NA,NA,NA,0,NA,NA,NA,NA
"768",1959,"19591W60",1,"W60","BLUTI",11,21,44,11,NA,10,NA,NA,13,0
"769",1959,"19591W65",1,"W65","BLUTI",10,20,41,10,NA,9,NA,NA,12,0
"770",1959,"19591W66",1,"W66","BLUTI",11,20,44,10,NA,10,NA,NA,14,1
"771",1959,"19591W67",1,"W67","BLUTI",1,36,NA,NA,NA,0,NA,NA,NA,NA
"772",1959,"19591W69",1,"W69","BLUTI",12,16,39,12,NA,12,NA,NA,12,0
"774",1959,"19591W71",1,"W71","BLUTI",11,22,44,11,NA,11,NA,NA,12,0
"775",1959,"19591W72",1,"W72","BLUTI",12,13,36,12,NA,11,NA,NA,12,0
"776",1959,"19591W73",1,"W73","BLUTI",11,16,41,10,NA,10,NA,NA,15,1
"778",1959,"19591W76",1,"W76","BLUTI",8,25,44,7,NA,7,NA,NA,12,1
"779",1959,"19591W77",1,"W77","BLUTI",12,15,38,12,NA,12,NA,NA,12,0
"780",1959,"19591W78",1,"W78","BLUTI",12,22,45,12,NA,10,NA,NA,12,0
"788",1959,"19591W97",1,"W97","BLUTI",10,16,37,10,NA,10,NA,NA,12,0
"792",1959,"19592EX17",2,"EX17","BLUTI",12,27,49,9,NA,9,NA,NA,11,3
"798",1960,"19601B113",1,"B113","BLUTI",11,23,47,11,NA,7,NA,NA,14,0
"799",1960,"19601B114",1,"B114","BLUTI",10,19,39,10,NA,9,NA,NA,11,0
"804",1960,"19601B125",1,"B125","BLUTI",9,31,54,7,NA,7,NA,NA,15,2
"805",1960,"19601B126",1,"B126","BLUTI",10,21,45,NA,NA,0,NA,NA,15,NA
"806",1960,"19601B127",1,"B127","BLUTI",10,21,42,10,NA,10,NA,NA,12,0
"808",1960,"19601B130",1,"B130","BLUTI",10,12,37,7,NA,7,NA,NA,16,3
"818",1960,"19601B156",1,"B156","BLUTI",13,17,43,11,NA,11,NA,NA,14,2
"820",1960,"19601B159",1,"B159","BLUTI",11,20,45,4,NA,4,NA,NA,15,7
"823",1960,"19601B164",1,"B164","BLUTI",7,32,NA,NA,NA,0,NA,NA,NA,NA
"828",1960,"19601B176",1,"B176","BLUTI",9,20,44,9,NA,9,NA,NA,16,0
"830",1960,"19601B18",1,"B18","BLUTI",12,17,44,12,NA,6,NA,NA,16,0
"834",1960,"19601B187",1,"B187","BLUTI",8,27,47,8,NA,8,NA,NA,13,0
"838",1960,"19601B191",1,"B191","BLUTI",1,48,NA,NA,NA,0,NA,NA,NA,NA
"840",1960,"19601B194",1,"B194","BLUTI",7,38,57,6,NA,6,NA,NA,13,1
"842",1960,"19601B196",1,"B196","BLUTI",10,19,40,9,NA,0,NA,NA,12,1
"843",1960,"19601B197",1,"B197","BLUTI",10,NA,NA,9,NA,9,NA,NA,NA,1
"846",1960,"19601B204",1,"B204","BLUTI",10,19,39,10,NA,10,NA,"54276",11,0
"847",1960,"19601B207",1,"B207","BLUTI",9,28,48,8,NA,8,NA,NA,12,1
"849",1960,"19601B22",1,"B22","BLUTI",10,20,42,10,NA,10,NA,NA,13,0
"850",1960,"19601B23",1,"B23","BLUTI",12,18,41,12,NA,12,NA,NA,12,0
"855",1960,"19601B36",1,"B36","BLUTI",10,18,NA,8,NA,7,NA,NA,NA,2
"857",1960,"19601B39",1,"B39","BLUTI",11,19,41,11,NA,9,NA,NA,12,0
"858",1960,"19601B40",1,"B40","BLUTI",NA,26,NA,NA,NA,0,NA,NA,NA,NA
"860",1960,"19601B44",1,"B44","BLUTI",12,19,NA,NA,NA,0,NA,NA,NA,NA
"865",1960,"19601B56",1,"B56","BLUTI",2,55,NA,NA,NA,0,NA,NA,NA,NA
"870",1960,"19601B68",1,"B68","BLUTI",NA,26,NA,NA,NA,0,NA,NA,NA,NA
"873",1960,"19601B70",1,"B70","BLUTI",6,23,NA,NA,NA,0,NA,NA,NA,NA
"877",1960,"19601B78",1,"B78","BLUTI",10,23,44,10,NA,9,NA,NA,12,0
"883",1960,"19601B91",1,"B91","BLUTI",9,21,43,9,NA,8,NA,NA,14,0
"886",1960,"19601B98",1,"B98","BLUTI",7,48,64,7,NA,6,NA,NA,10,0
"888",1960,"19601CP000",1,"CP000","BLUTI",8,24,45,8,NA,8,NA,NA,14,0
"889",1960,"19601CP1",1,"CP1","BLUTI",8,24,43,8,NA,8,NA,NA,12,0
"890",1960,"19601CP12",1,"CP12","BLUTI",12,17,NA,NA,NA,0,NA,NA,NA,NA
"891",1960,"19601CP137",1,"CP137","BLUTI",13,21,45,11,NA,11,NA,NA,12,2
"895",1960,"19601CP2",1,"CP2","BLUTI",10,19,41,NA,NA,0,NA,NA,13,NA
"896",1960,"19601CP203",1,"CP203","BLUTI",9,21,NA,NA,NA,0,NA,NA,NA,NA
"897",1960,"19601CP215",1,"CP215","BLUTI",10,24,45,9,NA,9,NA,NA,12,1
"898",1960,"19601CP23",1,"CP23","BLUTI",13,17,42,13,NA,13,NA,NA,13,0
"899",1960,"19601CP25",1,"CP25","BLUTI",10,19,40,NA,NA,0,NA,NA,12,NA
"901",1960,"19601CP31",1,"CP31","BLUTI",13,14,38,11,NA,11,NA,"28783",12,2
"903",1960,"19601CP5",1,"CP5","BLUTI",11,22,45,11,NA,11,NA,NA,13,0
"904",1960,"19601CP54",1,"CP54","BLUTI",14,12,43,12,NA,11,NA,"37235",18,2
"905",1960,"19601CP64",1,"CP64","BLUTI",12,16,40,10,NA,9,NA,NA,13,2
"906",1960,"19601CP72",1,"CP72","BLUTI",8,28,53,8,NA,5,NA,NA,18,0
"907",1960,"19601CP73",1,"CP73","BLUTI",11,15,38,11,NA,5,NA,NA,13,0
"908",1960,"19601CP82",1,"CP82","BLUTI",10,28,47,10,NA,9,NA,NA,10,0
"909",1960,"19601CP89",1,"CP89","BLUTI",12,17,NA,NA,NA,0,NA,NA,NA,NA
"911",1960,"19601CP95",1,"CP95","BLUTI",10,28,49,10,NA,9,NA,NA,12,0
"912",1960,"19601CP97",1,"CP97","BLUTI",11,21,46,2,NA,2,NA,NA,15,9
"915",1960,"19601EX10A",1,"EX10A","BLUTI",10,21,42,10,NA,10,NA,"54357",12,0
"917",1960,"19601EX12",1,"EX12","BLUTI",5,21,NA,NA,NA,0,NA,NA,NA,NA
"920",1960,"19601EX14A",1,"EX14A","BLUTI",10,18,39,9,NA,8,NA,NA,12,1
"922",1960,"19601EX15",1,"EX15","BLUTI",12,23,46,11,NA,11,NA,NA,12,1
"923",1960,"19601EX16",1,"EX16","BLUTI",10,23,43,10,NA,10,NA,NA,11,0
"924",1960,"19601EX19",1,"EX19","BLUTI",NA,18,NA,NA,NA,0,NA,NA,NA,NA
"926",1960,"19601EX21",1,"EX21","BLUTI",10,18,40,10,NA,10,NA,NA,13,0
"928",1960,"19601EX23",1,"EX23","BLUTI",8,38,NA,NA,NA,0,NA,NA,NA,NA
"930",1960,"19601EX26",1,"EX26","BLUTI",4,22,NA,NA,NA,0,NA,NA,NA,NA
"931",1960,"19601EX27",1,"EX27","BLUTI",11,20,42,9,NA,9,NA,NA,12,2
"932",1960,"19601EX28",1,"EX28","BLUTI",7,25,NA,NA,NA,0,NA,NA,NA,NA
"934",1960,"19601EX3",1,"EX3","BLUTI",11,23,45,11,NA,11,NA,NA,12,0
"938",1960,"19601EX33",1,"EX33","BLUTI",13,18,42,12,NA,12,NA,NA,12,1
"939",1960,"19601EX34",1,"EX34","BLUTI",NA,32,NA,NA,NA,0,NA,NA,NA,NA
"940",1960,"19601EX35",1,"EX35","BLUTI",11,23,44,10,NA,10,NA,NA,11,1
"942",1960,"19601EX36",1,"EX36","BLUTI",12,18,43,12,NA,10,NA,NA,14,0
"947",1960,"19601EX39A",1,"EX39A","BLUTI",13,20,45,12,NA,12,NA,NA,13,1
"949",1960,"19601EX39C",1,"EX39C","BLUTI",8,42,NA,NA,NA,0,NA,NA,NA,NA
"950",1960,"19601EX4",1,"EX4","BLUTI",9,28,NA,9,NA,9,NA,NA,NA,0
"951",1960,"19601EX41A",1,"EX41A","BLUTI",12,20,43,12,NA,12,NA,"54733",12,0
"957",1960,"19601EX46",1,"EX46","BLUTI",11,23,46,10,NA,10,NA,NA,13,1
"959",1960,"19601EX48",1,"EX48","BLUTI",NA,32,NA,NA,NA,0,NA,NA,NA,NA
"961",1960,"19601EX49B",1,"EX49B","BLUTI",10,NA,45,9,NA,9,NA,NA,NA,1
"963",1960,"19601EX50",1,"EX50","BLUTI",NA,19,NA,NA,NA,0,NA,NA,NA,NA
"965",1960,"19601EX52",1,"EX52","BLUTI",14,18,42,14,NA,13,NA,NA,11,0
"966",1960,"19601EX53",1,"EX53","BLUTI",12,15,38,11,NA,10,NA,NA,12,1
"972",1960,"19601EX59",1,"EX59","BLUTI",11,21,43,10,NA,9,NA,"54444",12,1
"980",1960,"19601EX67",1,"EX67","BLUTI",12,19,42,12,NA,11,NA,NA,12,0
"983",1960,"19601EX7",1,"EX7","BLUTI",10,21,42,10,NA,10,NA,NA,12,0
"984",1960,"19601EX70",1,"EX70","BLUTI",11,18,40,11,NA,11,NA,NA,12,0
"988",1960,"19601EX74",1,"EX74","BLUTI",7,47,63,7,NA,0,NA,"54008",10,0
"990",1960,"19601EX76",1,"EX76","BLUTI",10,25,46,10,NA,8,NA,NA,12,0
"996",1960,"19601O10",1,"O10","BLUTI",12,14,40,12,NA,12,NA,NA,15,0
"997",1960,"19601O11",1,"O11","BLUTI",11,20,42,10,NA,10,NA,"57265",12,1
"999",1960,"19601O18",1,"O18","BLUTI",12,19,49,NA,NA,3,NA,"54728",19,NA
"1000",1960,"19601O2",1,"O2","BLUTI",16,16,46,16,NA,16,NA,NA,15,0
"1001",1960,"19601O21",1,"O21","BLUTI",14,17,42,13,NA,13,NA,NA,12,1
"1002",1960,"19601O23",1,"O23","BLUTI",11,23,45,11,NA,11,NA,NA,12,0
"1004",1960,"19601O32",1,"O32","BLUTI",10,25,47,10,NA,8,NA,NA,13,0
"1005",1960,"19601O36",1,"O36","BLUTI",9,27,49,9,NA,7,NA,NA,14,0
"1006",1960,"19601O37",1,"O37","BLUTI",13,15,41,13,NA,0,NA,NA,14,0
"1007",1960,"19601O38B",1,"O38B","BLUTI",11,22,50,10,NA,0,NA,NA,18,1
"1009",1960,"19601O40",1,"O40","BLUTI",6,NA,62,6,NA,5,NA,NA,NA,0
"1010",1960,"19601O42",1,"O42","BLUTI",9,22,42,8,NA,5,NA,NA,12,1
"1012",1960,"19601O46",1,"O46","BLUTI",13,18,42,12,NA,12,NA,NA,12,1
"1013",1960,"19601O47",1,"O47","BLUTI",12,18,41,12,NA,11,NA,NA,12,0
"1014",1960,"19601O48",1,"O48","BLUTI",11,21,47,11,NA,7,NA,NA,16,0
"1015",1960,"19601O49",1,"O49","BLUTI",11,18,42,10,NA,10,NA,"54466",14,1
"1017",1960,"19601O51",1,"O51","BLUTI",13,18,45,13,NA,0,NA,NA,15,0
"1019",1960,"19601O54",1,"O54","BLUTI",10,20,41,10,NA,10,NA,NA,12,0
"1024",1960,"19601O6",1,"O6","BLUTI",10,22,47,10,NA,10,NA,NA,16,0
